"title","idshop","price","detail","berat","gambar","category"
"Led Tv Aqua 24AQT8300 -UsbMovie -HDMI","2546142","1429000"," Resolution 1366 x 768Panel Contrast Ratio 16 9Brightness cd m2 300Power Source AC Input 100 240V 50 60 HzColour System PAL NTSCAusio Output 2x2 5wAV Terminal PC Input Video Input 1x HDMI USB 2 0Power Consumption 40w ","5","https://ecs7.tokopedia.net/img/cache/300/product-1/2017/10/2/0/0_a6096b72-f318-4c26-8864-028b6468b448_700_700.jpg","LED TV "
"Led Tv Aqua 32AQT6500-Usb Movie-HDMI","2546142","2039000"," Ukuran layar 32 Inch 1366 x 768 pixelDilengkapi dengan port AV terminal input video input HDMI dan USBHemat listrik Garansi 2 tahun ","5","https://ecs7.tokopedia.net/img/cache/300/product-1/2017/10/2/0/0_1267f84f-2e4c-4578-a4c9-fd84e8a07b83_700_629.jpg","LED TV "
"Hitachi Kulkas RWB48PGD2-GBK-405Ltr-Digital","2546142","10999000"," SPESIFIKASI HITACHI R WB48PGD2 GBK Series French Bottom Freezer Door 3 Door Net Capacity L Freezer 107 Liter Total 405 L Dimensions mm Width 680 Height 1 780 Depth With Handle 797 Depth Without Handle 760 Cooling System Dual Fan Cooling Refrigerator Compartment Selectable Mode Compartment Tempered Glass Shelves LED LightVegetable Compartment Smart Open Veg Compartment Freezer Compartment Movable Twist Ice Tray Quick Freezing Slid Type Double Deck Drawer General Features Inverter Control Eco Thermo Sensor Touch Screen Controller Blue Digital Display Cool Power Display Door Alarm Nano Titanium Refrigerant R 600a ","10","https://ecs7.tokopedia.net/img/cache/300/product-1/2017/10/2/0/0_7fe2aee7-0c19-476c-86d1-2ef01ff5a989_548_900.jpg","Kulkas & Cooler Box "
"Led Samsung 43"" Full HD DTV UA43K5002-HDMI-USB MOVIE","2546142","4399000"," Fitur FULL HD 1920x1080 Resolution DVB T2 Digital TV Tuner Connect Share Movie Samsung Wide Color Enhancer Clean View Connectshare Movie Clear Motion Rate 100hz HyperReal Engine Mega Contrast Dolby Digital Plus HDMI x3 VGA input X1 USB x1 ","8","https://ecs7.tokopedia.net/img/cache/300/product-1/2017/10/1/0/0_f46451a8-8cb1-4438-9938-c510eabd9767_700_700.jpg","LED TV "
"Led Samsung 49"" UHD 4K Smart Curved UA49MU6300-NewModel 2017","2546142","10799000"," TV LEDLayar 49 InchResolusi 3840 x 2160Interface HDMI dan USBFitur PurColour HDR Dimming UHD teknologiSamsung UA49MU6300KPXD TV LED 49 Inch Samsung UA49MU6300KPXD TV LED 49 Inch merupakan TV LED yang didesain Impression layar ultra tipis dengan teknologi 4 langkah peningkatan citra UHD sehingga dapat meningkatkan kualitas dan kecerahan konten gambar dari resolusi rendah untuk standar UHD TV LED ini dilengkapi dengan fitur PurColour untuk warna yang hidup dalam setiap frame HDR nikmati kejernihan gambar yang superior kini Anda dapat menikmati kualitas gambar yang menakjubkan dengan HDR seperti teater di rumah Peningkatan kontras dengan Dimming UHD teknologi peredupan membagi gambar ke dalam blok yang lebih kecil untuk mengoptimalkan warna ketajaman dan peningkatan kontras untuk putih hitam dan murni dalam gelap ","12","https://ecs7.tokopedia.net/img/cache/300/product-1/2017/10/1/0/0_cd3a7e25-6aa9-4f33-8d84-1f9ee99c0fa2_700_518.jpg","LED TV "
"Led Samsung Full HD 40"" UA40M5000-DTV-UsbMovie-HDMI","2546142","4099000"," Fitur 40 inch DVBT 2 Digital TV Full HD 1920x1080p Clean motion rete 100 50Hz USB Movie Desain elegan 2x HDMI 1x USB ","8","https://ecs7.tokopedia.net/img/cache/300/product-1/2017/10/1/0/0_7ceb7923-37b2-4f9b-8768-afaf2b775bcf_700_700.jpg","LED TV "
"Chest Freezer Sanken SRF-320WH-300Ltr--ice Pack-Doble Pintu Slidingdor","2546142","3319000"," Chest Freezer SRF 320WH produk terbaru sanken lemari pendingin frozen series dapat digunakan untuk keperluan mini market super market restoran maupun hotel kapasitas chest freezer SRF 320WH besar 300 liter untuk menyimpan aneka makanan dan bahan makanan beku frozen food Chest Freezer Sanken hadir untuk menjawab kebutuhan anda Santai ada SankenSPESIFIKASI CHEST FREEZER TIPE SRF 320WH Tegangan 220v Frequency 50hz Masukan Daya 158watt Masukan Arus 1 35a Kapasitas 300liter Refrigerant R134a Berat Bersih 42kg Berat Kotor 45kg Dimensi Unit 1100x640x835mm Dimensi Karton 1027x665x880mm Dilengkapi dengan 4 Roda Lampu Led Kaca sliding dibagian dalam Cool Pack terletak di dalam freezer di kedua sisinya berfungsi menjaga makanan tetap beku dengan baik dan tetap dingin selama delapan jam ketika listrik padam sehingga es krim tidak akan mencair dan daging tidak akan rusak ","8","https://ecs7.tokopedia.net/img/cache/300/product-1/2017/10/1/0/0_be4f2c5d-6545-4363-b0ce-532628995940_600_451.jpg","Kulkas & Cooler Box "
"Chest Freezer Sanken SRF-120WH-100Ltr-NewModel-ice pack-Lowwat","2546142","2119000"," Menyimpan aneka makanan beku frozen food Ice Cream Daging Beku Seafood Nugget dll Fitur Chest Freezer Sanken Type SRF 120WH Cepat Beku Hemat Energy Roda Handle Kunci R134a Ice Pack 2 PieceSpesifikasi Dimensi 632x565x835 mm Temperature 15 25c Volume 115 liter Kapasitas Beku 24Jam 8kg Kapasitas Simpan 60kg Listrik 100 watt Berat 31 kg ","8","https://ecs7.tokopedia.net/img/cache/300/product-1/2017/10/1/0/0_9fa33338-b0ee-451a-94a2-37033ff8f046_648_1152.jpg","Kulkas & Cooler Box "
"Led Samsung 32"" Smart TV UA32J4303-SmartTv-DTV-HDMI-Bergaransi resmi","2546142","3199000"," Deskripsi Produk32 J4303 Samsung Full Smart HD TVSamsung J4303 series 4 LED TV has 1366 x 768 HD resolution built in wireless wi fi connectivity ConnectShare movie planet first wide color enhancer clear motion Samsung TV apps supported digital noise filter smart phone remote wi fi direct RMS sound output auto volume leveler analog clean view vibrant colors and outstanding images Product FeatureScreen Size 32 Resolution 1366 x 768Technology LEDResponse Time 5 msRefresh Rate Clear Motion Rate 200Contrast Advanced Contrast EnhancerBrightness Wide Color Enhancer PlusTV Tuner Analog and DigitalSound 10W 10W Dolby Digital Dolby Digital Plus Dolby PulseConnectivity USB HDMI Wi Fi LAN RF MHLRemote YesDimension Approx 738 x 435 x 59 mm ","7","https://ecs7.tokopedia.net/img/cache/300/product-1/2017/10/1/0/0_552dbc87-f5ea-4481-83bd-c2d77523b840_700_819.jpg","LED TV "
"Led Samsung 32"" HD Ready UA32J4003-Usb Movie-HDMI-Bergaransi Resmi","2546142","2639000"," TV LED HD 32 InchResolution 1366 x 768Dengan Wide Colour Enchancer Plus yang mampu meningkatkan kualitas gambar dan mempertajam tiap detailnyaMemiliki teknologi HyperReal Engine yang dapat meningkatkan kualitas warna sekaligus menampilkan gambar dengan resolusi HDDidukung teknologi audio besutan DTS Studio Sound sehingga audio yang dikeluarkan mampu menyebar ke segala arah dan terdengar lebih real ","8","https://ecs7.tokopedia.net/img/cache/300/product-1/2017/10/1/0/0_d8e00e52-5c72-4f82-af18-3d6cc1d23bc6_700_819.jpg","LED TV "
